"equipoLocal","equipoVisitante","prediccionGanador","comentarioAviso","posibilidadDeEmpate","equipoLocalPorcentajeEnLasEstadisticas","equipoVisitantePorcentajeEnLasEstadisticas","equipoLocalPromedioDeCasasDeApuestas","empatePromedioDeCasasDeApuestas","equipoVisitantePromedioDeCasasDeApuestas"
"Sheffield Wednesday","Fleetwood Town","Sheffield Wednesday","Combo Double chance : Sheffield Wednesday or draw and -3.5 goals",true,"55.0%","45.0%","1.49","4.27","6.67"
"Preston","Tottenham","Preston","Winner : Preston",false,"62.5%","37.5%","8.29","4.87","1.37"
"Ipswich","Burnley","Ipswich","Combo Winner : Ipswich and +2.5 goals",false,"59.0%","41.0%","3.10","3.38","2.28"
"Manchester United","Reading","Manchester United","Double chance : Manchester United or draw",true,"62.0%","38.0%","1.14","8.14","17.06"
"Southampton","Blackpool","Blackpool","Combo Winner : Blackpool and +1.5 goals",false,"36.4%","63.6%","1.50","4.32","6.30"
"Walsall","Leicester","Walsall","Combo Double chance : Walsall or draw and -3.5 goals",true,"80.5%","19.5%","11.79","5.54","1.27"
"Blackburn","Birmingham","Blackburn","Combo Double chance : Blackburn or draw and -3.5 goals",true,"54.0%","46.0%","2.33","3.26","3.13"
"Bristol City","West Brom","West Brom","Double chance : draw or West Brom",true,"40.7%","59.3%","3.07","3.32","2.33"
"Luton","Grimsby","Grimsby","Double chance : draw or Grimsby",true,"45.5%","54.5%","1.46","4.49","6.84"
"Fulham","Sunderland","Sunderland","Double chance : draw or Sunderland",true,"40.0%","60.0%","1.47","4.57","6.34"